PaymentID,InvoiceID,CustomerID,PaymentDate,PaymentAmount,PaymentMethod,PaymentStatus,CreatedBy
PAY-916905bd-02e5-4e8f-8ace-83c0a17e40a2,INV-916905bd-02e5-4e8f-8ace-83c0a17e40a2,CID-001,2025-09-02,1174.45,PayPal,Completed,SampleGen
PAY-ec2a03f3-1bb6-4710-87c0-5083895eb9fb,INV-ec2a03f3-1bb6-4710-87c0-5083895eb9fb,CID-001,2025-10-25,1141.84,MC,Completed,SampleGen
PAY-b05073a4-1378-4bd8-8fe2-cef90a550f7f,INV-b05073a4-1378-4bd8-8fe2-cef90a550f7f,CID-001,2025-08-10,1381.06,AmEx,Completed,SampleGen
PAY-5a620c6d-278c-466c-9fba-8c956f1a93a5,INV-5a620c6d-278c-466c-9fba-8c956f1a93a5,CID-001,2026-01-01,2229.31,Discover,Completed,SampleGen
PAY-69fced18-4625-4663-9a0c-c85f52ea856d,INV-69fced18-4625-4663-9a0c-c85f52ea856d,CID-001,2025-09-10,1468.09,VISA,Completed,SampleGen
PAY-0015e1eb-2eb1-40d4-9c15-0627c9a42465,INV-0015e1eb-2eb1-40d4-9c15-0627c9a42465,CID-001,2025-09-26,217.48,MC,Completed,SampleGen
PAY-3aea30d7-2f58-49e3-8e0d-2eaa7175602c,INV-3aea30d7-2f58-49e3-8e0d-2eaa7175602c,CID-002,2025-10-25,1968.32,MC,Completed,SampleGen
PAY-5f591ac1-a42b-4553-8f46-783a5e739e32,INV-5f591ac1-a42b-4553-8f46-783a5e739e32,CID-003,2026-03-10,2425.07,Discover,Completed,SampleGen
PAY-e03ec92f-9939-41d6-886a-687b4539286e,INV-e03ec92f-9939-41d6-886a-687b4539286e,CID-003,2025-12-02,739.46,AmEx,Completed,SampleGen
PAY-6c7424e7-2423-43f2-a8cf-2f4a83160d15,INV-6c7424e7-2423-43f2-a8cf-2f4a83160d15,CID-003,2026-01-29,2522.95,MC,Completed,SampleGen
PAY-c4b8cb57-eb08-40dd-aa47-a09ee588bef9,INV-c4b8cb57-eb08-40dd-aa47-a09ee588bef9,CID-003,2025-06-07,1805.18,AmEx,Completed,SampleGen
PAY-8dfd7f05-7896-4e84-988b-6703e78a2e6c,INV-8dfd7f05-7896-4e84-988b-6703e78a2e6c,CID-004,2025-11-09,391.47,AmEx,Completed,SampleGen
