OrderID,ProductLineName,OrderNumber,CustomerID,CustomerAccountID,OrderDate,OrderStatus,SubTotal,TaxAmount,OrderTotal,PaymentMethod,IsoCurrencyCode,CreatedBy
916905bd-02e5-4e8f-8ace-83c0a17e40a2,Ski,S300000,CID-001,CA-0926,2025-09-01,Completed,1079.95,94.5,1174.45,PayPal,USD,SampleGen
ec2a03f3-1bb6-4710-87c0-5083895eb9fb,Ski,S300001,CID-001,CA-0926,2025-10-24,Completed,1049.97,91.87,1141.84,MC,USD,SampleGen
b05073a4-1378-4bd8-8fe2-cef90a550f7f,Ski,S300002,CID-001,CA-0926,2025-08-09,Completed,1269.94,111.12,1381.06,AmEx,USD,SampleGen
5a620c6d-278c-466c-9fba-8c956f1a93a5,Ski,S300003,CID-001,CA-0926,2025-12-31,Pending,2049.95,179.36,2229.31,Discover,USD,SampleGen
69fced18-4625-4663-9a0c-c85f52ea856d,Ski,S300004,CID-001,CA-0926,2025-09-09,Completed,1349.97,118.12,1468.09,VISA,USD,SampleGen
0015e1eb-2eb1-40d4-9c15-0627c9a42465,Ski,S300005,CID-001,CA-0926,2025-09-25,Shipped,199.98,17.5,217.48,MC,USD,SampleGen
3aea30d7-2f58-49e3-8e0d-2eaa7175602c,Ski,S300006,CID-002,CA-0927,2025-10-24,Completed,1809.95,158.37,1968.32,MC,USD,SampleGen
5f591ac1-a42b-4553-8f46-783a5e739e32,Ski,S300007,CID-003,CA-0928,2026-03-09,Completed,2229.95,195.12,2425.07,Discover,USD,SampleGen
e03ec92f-9939-41d6-886a-687b4539286e,Ski,S300008,CID-003,CA-0928,2025-12-01,Completed,679.97,59.49,739.46,AmEx,USD,SampleGen
6c7424e7-2423-43f2-a8cf-2f4a83160d15,Ski,S300009,CID-003,CA-0928,2026-01-28,Completed,2319.95,203.0,2522.95,MC,USD,SampleGen
c4b8cb57-eb08-40dd-aa47-a09ee588bef9,Ski,S300010,CID-003,CA-0928,2025-06-06,Shipped,1659.93,145.25,1805.18,AmEx,USD,SampleGen
